,employer,title,salary,submitDate,startDate,caseStatus,city,state
6340,uber technologies inc,Data Scientist,106000,2018-08-08,2018-08-15,CERTIFIED,SAN FRANCISCO,CA
6341,facebook inc,Data Scientist,165000,2018-08-08,2018-08-20,CERTIFIED,MENLO PARK,CA
6342,ilink systems inc,Senior Data Scientist,91395,2018-08-08,2018-08-27,CERTIFIED,SANTA MONICA,CA
6343,lyft inc,Data Scientist,155000,2018-08-08,2018-10-15,CERTIFIED,SAN FRANCISCO,CA
6344,oath holdings inc,Senior Data Scientist,105227,2018-08-08,2018-09-10,CERTIFIED,NEW YORK,NY
6345,wal-mart associates inc,Associate Data Scientist,105837,2018-08-09,2018-10-20,CERTIFIED,BENTONVILLE,AR
6346,oath holdings inc,Data Scientist,110802,2018-08-09,2018-08-16,CERTIFIED,SUNNYVALE,CA
6347,creighton university,Data Scientist,70000,2018-08-09,2018-08-20,CERTIFIED,OMAHA,NE
6348,vivint inc,Senior Data Scientist,135200,2018-08-09,2018-08-24,CERTIFIED,LEHI,UT
6349,facebook inc,Data Scientist,140000,2018-08-09,2018-08-20,CERTIFIED - WITHDRAWN,MENLO PARK,CA
6350,mckesson corporation,Data Scientist,115000,2018-08-09,2018-09-17,CERTIFIED,THE WOODLANDS,TX
6351,coupang global llc,Senior Data Scientist,150000,2018-08-09,2019-01-26,CERTIFIED,MOUNTAIN VIEW,CA
6352,airbnb inc,Data Scientist,200000,2018-08-09,2018-09-17,CERTIFIED,SAN FRANCISCO,CA
6353,stash financial inc,Data Scientist,130000,2018-08-09,2018-09-10,CERTIFIED,NEW YORK,NY
6354,vivint inc,Senior Data Scientist,135200,2018-08-09,2018-08-24,CERTIFIED,LEHI,UT
6355,oath holdings inc,Data Scientist,110802,2018-08-09,2018-10-15,CERTIFIED,SUNNYVALE,CA
6356,facebook inc,Data Scientist,140000,2018-08-09,2018-08-20,CERTIFIED,MENLO PARK,CA
6357,apple inc,Data Scientist,155000,2018-08-10,2018-08-27,CERTIFIED,CUPERTINO,CA
6358,midea emerging technology co ltd,Data Scientist,158163,2018-08-10,2018-08-13,CERTIFIED,SAN JOSE,CA
6359,netflix inc,Senior Data Scientist,184350,2018-08-13,2018-08-27,CERTIFIED,LOS GATOS,CA
6360,aetna resources llc,Senior Data Scientist,120000,2018-08-13,2018-08-27,CERTIFIED,WELLESLEY,MA
6361,prokarma inc,Data Scientist,90000,2018-08-13,2018-08-24,CERTIFIED,OMAHA,NE
6362,aetna resources llc,Senior Data Scientist,120000,2018-08-13,2018-08-27,CERTIFIED,WELLESLEY,MA
6363,aetna resources llc,Senior Data Scientist,120000,2018-08-13,2018-08-27,CERTIFIED,WELLESLEY,MA
6364,datarobot inc,Data Scientist,150000,2018-08-13,2018-08-13,CERTIFIED,PHILADELPHIA,PA
6365,aetna resources llc,Senior Data Scientist,120000,2018-08-13,2018-08-27,CERTIFIED,WELLESLEY,MA
6366,facebook inc,Data Scientist,155000,2018-08-14,2018-08-27,CERTIFIED,MENLO PARK,CA
6367,microsoft corporation,Senior Data Scientist,155193,2018-08-14,2018-09-04,CERTIFIED,PASADENA,CA
6368,lyft inc,Data Scientist,133000,2018-08-14,2018-09-03,CERTIFIED,SAN FRANCISCO,CA
6369,electronic arts inc,Senior Data Scientist,155000,2018-08-14,2018-09-04,CERTIFIED,REDWOOD CITY,CA
6370,everquote inc,Data Scientist,65000,2018-08-15,2018-09-06,CERTIFIED,CAMBRIDGE,MA
