,employer,title,salary,submitDate,startDate,caseStatus,city,state
1125,c-vision inc,Data Analyst,60000,2016-01-15,2016-01-25,CERTIFIED,CRANSTON,RI
1126,ep technology corporation,Data Analyst,66144,2016-01-15,2016-01-25,CERTIFIED,FREMONT,CA
1127,byte consulting inc,Data Analyst,70000,2016-01-18,2016-01-22,CERTIFIED,CHARLOTTE,NC
1128,home depot usa inc,Data Analyst,70000,2016-01-18,2016-02-08,CERTIFIED,ATLANTA,GA
1129,concept software & services inc,Data Analyst,60000,2016-01-19,2016-01-19,CERTIFIED,ALPHARETTA,GA
1130,compuga inc,Data Analyst,92500,2016-01-19,2016-01-19,CERTIFIED,HERNDON,VA
1131,sapphire software solutions inc,Data Analyst,90000,2016-01-19,2016-01-19,CERTIFIED,BOTHELL,WA
1132,byte consulting inc,Data Analyst,70000,2016-01-19,2016-01-26,CERTIFIED,CHARLOTTE,NC
1133,analog devices inc,Data Analyst,66780,2016-01-20,2016-07-19,CERTIFIED,NORWOOD,MA
1134,columbia university,Data Analyst,66500,2016-01-21,2016-02-01,CERTIFIED,NEW YORK,NY
1135,waynsys inc,Data Analyst,72000,2016-01-22,2016-02-01,CERTIFIED,EDISON,NJ
1136,vesta corporation,Data Analyst,73000,2016-01-22,2016-01-22,CERTIFIED,SEATTLE,WA
1137,strategic funding source inc,Data Analyst,65000,2016-01-22,2016-07-22,CERTIFIED,NEW YORK,NY
1138,cisco systems inc,Data Analyst,74360,2016-01-22,2016-07-15,CERTIFIED,RESEARCH TRIANGLE PARK,NC
1139,tek erp llc,Data Analyst,60000,2016-01-22,2016-01-22,CERTIFIED,SUN PRAIRIE,WI
1140,dominion technology services corp inc,Data Analyst,97760,2016-01-22,2016-05-02,CERTIFIED,MORRISVILLE,NC
1141,inventure capital corporation,Data Analyst,90000,2016-01-25,2016-02-22,CERTIFIED,SANTA MONICA,CA
1142,ads alliance data systems inc,Senior Data Analyst,78670,2016-01-25,2016-07-22,CERTIFIED,WAKEFIELD,MA
1143,google,Data Analyst,120000,2016-01-25,2016-02-29,CERTIFIED,SUNNYVALE,CA
1144,c-vision inc,Senior Data Analyst,75000,2016-01-26,2016-02-03,CERTIFIED,TROY,MI
1145,cardlytics inc,Data Analyst,55000,2016-01-26,2016-07-27,CERTIFIED,ATLANTA,GA
1146,thinkbrq,Data Analyst,80000,2016-01-26,2016-05-15,CERTIFIED,BETHPAGE,NY
1147,byte consulting inc,Data Analyst,70000,2016-01-26,2016-01-26,CERTIFIED,CHARLOTTE,NC
1148,trustees of the university of pennsylvania,Data Analyst,50000,2016-01-27,2016-04-01,CERTIFIED,PHILADELPHIA,PA
1149,focus it inc,Data Analyst,52187,2016-01-27,2016-01-27,DENIED,TROY,MI
1150,focus it inc,Data Analyst,63918,2016-01-28,2016-02-04,CERTIFIED,TROY,MI
1151,epiq class action & claim solutions inc,Senior Data Analyst,120640,2016-01-28,2016-03-01,CERTIFIED,BEAVERTON,OR
1152,focus it inc,Data Analyst,63918,2016-01-28,2016-01-28,CERTIFIED,TROY,MI
1153,concert tech corporation,Data Analyst,65000,2016-01-29,2016-01-29,CERTIFIED,SALT LAKE CITY,UT
1154,brown university,Data Analyst,67180,2016-01-29,2016-06-01,CERTIFIED,PROVIDENCE,RI
1155,manhattan telecommunications corporation,Data Analyst,50752,2016-01-31,2016-07-01,CERTIFIED,NEW YORK,NY
1156,sritek inc,Data Analyst,65312,2016-02-01,2016-07-31,CERTIFIED,MCKINNEY,TX
1157,cardlytics inc,Senior Data Analyst,75500,2016-02-01,2016-07-30,CERTIFIED,ATLANTA,GA
1158,capital one national association,Senior Data Analyst,77700,2016-02-01,2016-07-27,CERTIFIED,GLEN ALLEN,VA
1159,sritek inc,Data Analyst,65312,2016-02-01,2016-07-31,CERTIFIED,MCKINNEY,TX
